"time"	"cell.id"	"cell.id"	"cell.center.y"

1	136	136	703.9688385
1	151	151	1108.726601
1	427	427	84.44021739

2	32	32	864.9955457
3	301	301	1000.152466
3	354	354	597.6838565

4	271	271	783.4168514
4	556	556	460.7651007

5	317	317	217.8288889
5	500	500	191.9821826

6	338	338	163.9393258
6	470	470	6.895089286

7	494	494	29.00669643
7	496	496	83.35777778
7	506	506	353.7790179
7	529	529	353.1581292

8	572	572	274.1454139
9	593	593	217.3964365
9	624	624	434.8303571

10	472	472	56.78666667
11	370	370	407.2783964

13	40	40	1082.192825

15	107	107	1109.154867
15	337	337	137.1873589
15	471	471	31.84424379
15	548	548	244.7028825

16	25	25	677.1533333
16	293	293	784.2933333
16	366	366	299.3415179

17	300	300	974.1768707
17	348	348	433.8040089
17	435	435	297.3318486

18	142	142	865.4368071
18	316	316	190.214447
18	346	346	382.2611607
18	532	532	434

19	101	101	947
20	115	115	731.972973
20	222	222	649.4111111
20	347	347	408.9459459


22	428	428	111.8674157

24	571	571	247.8707483
24	586	586	31


26	254	254	922.4097996


