"time"	"cell.id"	"cell.id"	"cell.center.y"

1	108	108	1135.523077
1	258	258	1026.579487

2	278	278	973.1311111
2	525	525	244.9532294
2	583	583	568.2654867
2	605	605	542.0957684

3	436	436	325.65625
4	168	168	975.3348115
4	252	252	864.3325942
4	291	291	731.609375

5	340	340	217.0268456
5	371	371	432.8638393
5	454	454	191.8953229
5	475	475	136.4151786
5	500	500	189.9105145

6	131	131	1161.393805
6	368	368	353.3221477
6	533	533	460.1838565

7	337	337	136.4776786
7	413	413	325.2276786

8	555	555	432.9512195
8	570	570	217.7339246

9	65	65	1159.672646
9	98	98	864.7050998
9	385	385	191.5955056

10	281	281	1055.86
10	380	380	55.81959911
10	536	536	542.539823
10	619	619	299.6696231

11	37	37	1002.27051
11	405	405	110
11	546	546	190.027027

12	490	490	542.1336303
12	507	507	380.6577181


14	51	51	785.4697987
14	300	300	972.2783964

15	342	342	271.7028825
15	429	429	137.1150442
15	478	478	218.2561798


17	313	313	110.53125
17	517	517	32.43487859
17	537	537	568.8510158

18	72	72	755.857461
18	560	560	568.4247788

19	29	29	783.8938053
19	440	440	433.5933333
19	542	542	84.07095344

20	195	195	1107.786667
21	206	206	812.4866667
21	216	216	1082.537946
21	519	519	83.38888889





26	310	310	30.94594595
26	504	504	298.5133333

27	510	510	460.5367483
28	235	235	1001.510022
