"time"	"cell.id"	"cell.id"	"cell.center.y"

1	247	247	730.5948052
1	420	420	515.3693931

2	148	148	1027.837416
2	348	348	433.28
2	515	515	598.0067568
2	545	545	163.9775785
2	555	555	434.78

3	507	507	380.3422222

5	486	486	434.6436526
6	89	89	621.8129176
6	584	584	595.8752784

7	77	77	892.5898004
8	187	187	892.4766147
8	450	450	83.62053571

9	102	102	975.0736607
9	134	134	649.7964206
9	448	448	30.80846325
9	478	478	218.9798658

10	390	390	327.6681514
11	277	277	947.972973
12	327	327	488.6948775
12	543	543	110
12	612	612	109.3133333

13	6	6	757.4147982
13	385	385	191

14	179	179	676.6473214
14	319	319	272.6866667


16	122	122	920.0293454
17	160	160	758.2838137
17	356	356	30.25167038


19	169	169	1001.537946
19	224	224	703.7216036
19	589	589	109.5132159

20	358	358	82.46875
20	485	485	409.0225734

21	7	7	783.9121622
22	321	321	325.5133333
22	324	324	406.2991071

23	431	431	191.7839644
24	56	56	920.5379464
25	235	235	1001.127803
26	210	210	919.9380531

28	3	3	676.027027
