"time"	"cell.id"	"cell.id"	"cell.center.y"

1	132	132	1186.751678
1	490	490	541.4441748

2	42	42	1134.979866
2	445	445	569.55902

3	425	425	29.89485459
3	453	453	165.4288889

4	119	119	840.5232816
4	318	318	244.4260486
4	330	330	568.875
4	426	426	54.43875278
4	532	532	435.2433036
4	535	535	515.6704036

5	3	3	676.4244444
5	450	450	82.62

6	62	62	1082
6	346	346	378.8325893
6	367	367	324.631929
6	495	495	56.70561798
6	559	559	542.7222222

7	181	181	731.6300448
7	402	402	31.06222222
7	628	628	542.3666667

8	409	409	216.5
8	533	533	460.5608108
8	576	576	380.840708
8	630	630	596.1

9	325	325	432.8683036
9	334	334	56.77272727

10	208	208	866.53125
10	324	324	408.2416107
10	333	333	35.41136364
10	349	349	460.4151786
10	436	436	325.4922395
10	499	499	163.5367483
10	610	610	56.28381375

11	411	411	271.4247788
12	451	451	110.9345372
13	254	254	918.8955556
13	295	295	839.6762749

14	81	81	1000.266667
14	332	332	13.28988764


16	70	70	703.3362832
16	156	156	650.8485523
16	393	393	406.3051225
16	518	518	56.33482143

17	582	582	542.0909091

19	58	58	973.4368071
19	401	401	8.625560538

20	152	152	1135.536748
20	342	342	271.5525727
20	579	579	460.7234513

21	517	517	30.58783784


24	270	270	758.405765
25	575	575	354.1493213

27	170	170	1028.676275

