"time"	"cell.id"	"cell.id"	"cell.center.y"

1	467	467	541.2593516
1	564	564	56.2617284


3	230	230	866.5044248
4	40	40	1082.196429
4	359	359	110.3266667

5	331	331	595.46
5	393	393	404.7906459
5	584	584	595.8744395

6	203	203	730.6302895
7	490	490	541.8240535
7	518	518	56.65771812

8	351	351	514.4196429
8	409	409	217.3030973
8	423	423	596.3666667
8	435	435	300.5132743

9	347	347	406.3616071
9	349	349	462.1071429
9	377	377	595.9312639






15	571	571	245.972973
15	582	582	541.9685393



18	365	365	271.5367483

20	318	318	246.3968958

22	18	18	1081.993318


25	77	77	892.5133333
25	282	282	1081.40708


27	593	593	217.9486607

