"time"	"deathP_CPT"	"deathP_PPT"
0	0	0
1	0.006550540214	0.001924058832
2	0.004447547081	0.00435519483
3	0.003410919237	0.006137422744
4	0.002840243812	0.007050564526
5	0.002485866221	0.007281275651
6	0.002248415495	0.007075972923
7	0.002080789349	0.00663420176
8	0.001957901319	0.006091621729
9	0.0018652229	0.005530930416
10	0.001793787441	0.004997679441
11	0.001737776444	0.004513680324
12	0.001693257896	0.004086602631
13	0.001657484052	0.003716269247
14	0.001628480012	0.003398548105
15	0.001604792115	0.00312764032
16	0.001585328377	0.002897355328
17	0.001569254069	0.002701772185
18	0.001555921497	0.002535542828
19	0.001544821607	0.002393995188
20	0.001535549908	0.002273130629
21	0.001527781987	0.002169570531
22	0.0015212556	0.002080482734
23	0.001515757348	0.00200350428
24	0.001511112612	0.001936668581
25	0.001507177846	0.001878340544
26	0.001503834593	0.001827160624
27	0.001500984793	0.001781997563
28	0.001498547054	0.001741908938
