"time"	"cell.id"	"cell.id"	"cell.center.y"

1	235	235	1000.923261
2	219	219	1161.648889
2	437	437	353.481153
2	508	508	407.3452915
2	601	601	433.1524664

3	329	329	542.2004454
3	580	580	488.8058036

4	36	36	974.4686099
4	44	44	1185.440716
4	217	217	1109.181614

5	54	54	866.2311111
5	620	620	326.4474273
5	621	621	353

6	528	528	326.1651786
6	607	607	595.8571429

7	65	65	1161.341573
7	163	163	838.4900662
7	346	346	379.345898
7	382	382	110.4288889
7	554	554	407.6385809
7	581	581	513.2134831

8	386	386	218.0554324
8	578	578	433.3133333


10	490	490	541.3794643
10	551	551	327.1380846
10	622	622	378.6719101

11	269	269	731
11	380	380	56.28666667

12	64	64	1135.894619
12	378	378	6.022321429
12	410	410	243.8115299
12	538	538	596.2416107
12	546	546	189.9910913

13	69	69	676.0022173
13	558	558	514.7333333





18	110	110	1184.208054


21	465	465	488.8616071
22	359	359	110



26	397	397	515.4866667
26	542	542	84.73051225


28	142	142	865.3251121
