"time"	"cell.id"	"cell.id"	"cell.center.y"


2	535	535	515.2261641
2	548	548	244.6741071

3	117	117	784.9445676
4	60	60	1028.814159
4	311	311	58.5950783
4	473	473	83.21507761
4	500	500	191.1938326
4	528	528	326.0554324

5	389	389	298.7327394
5	565	565	82.39101124


7	479	479	244.2008929
8	240	240	1135.558036
8	314	314	136.1848552


10	525	525	244.5367483
10	570	570	217.3392461

11	298	298	919.2920354
12	487	487	458.6962306
12	566	566	109.9457014

13	20	20	1136.347439
14	22	22	1186.169643
14	412	412	300.013363

15	53	53	838.3097345
15	83	83	1054.395506
15	516	516	7.397321429
15	614	614	164

16	484	484	379.5647321



20	46	46	650.972973
20	262	262	1134.486726




24	253	253	893.8456376
24	459	459	326.5844444

25	37	37	1001.359202

27	80	80	973.2991071
27	174	174	1136.674888

28	274	274	866.7866667
28	305	305	1107.96875

