"time"	"cell.id"	"cell.id"	"cell.center.y"

1	369	369	380.3392857
1	457	457	273.2657534

2	201	201	677.9731544
2	519	519	82.37250554
2	588	588	81.94444444

3	172	172	1081.772829
4	515	515	595.6186253
5	338	338	164.3348214

7	320	320	299.0671141
7	574	574	325.6754967

8	554	554	406.5133333
9	81	81	1001.272321
10	78	78	920
10	486	486	435.4866667

11	306	306	1135.379464
11	359	359	110.3051225
11	595	595	272.286031


13	266	266	649.5888889
13	463	463	432.38

14	77	77	893.4397321
14	204	204	757.9434389
14	496	496	83.38888889

15	115	115	730.3133333
15	309	309	6.808035714

16	194	194	1082.233333

18	121	121	892.9685393
18	331	331	595.8165548

19	119	119	840.1856823
20	380	380	58.45657016
21	323	323	379.46875
22	198	198	1185.13363
22	333	333	30.72888889
22	474	474	109.0268456

23	169	169	1001.147321
23	176	176	1185.450111


25	36	36	974.6733333
25	350	350	488.0314607
25	613	613	137.6490066

26	379	379	32.22696629

28	311	311	57.38359202
28	505	505	324.6681614

