"LocationID" "Pt_PPB" "SampleID" "PleateID" "Compartment" "Concentration" "TimeID" "Replicate" "Dilution" "Initial_volume" "Platinum_ppb_correct" "Platinum_nM" "Platinum_pmol" "Platinum_pgram"
"39" "D03" 6.632282661 "17005" "Leiden_PtDetermination_Plate2" "Plasma" 5 24 3 100 60 663.2282661 3401.17059538461 204.070235723077 39793.695966
"40" "D04" 9.447090077 "18001" "Leiden_PtDetermination_Plate2" "Plasma" 5 24 4 100 70 944.7090077 4844.66157794872 339.12631045641 66129.630539
"41" "D05" 10.01952694 "18003" "Leiden_PtDetermination_Plate2" "Plasma" 5 24 5 100 60 1001.952694 5138.21894358974 308.293136615385 60117.16164
"42" "D06" 9.467510336 "18005" "Leiden_PtDetermination_Plate2" "Plasma" 5 24 6 100 60 946.7510336 4855.13350564103 291.308010338462 56805.062016
"43" "D07" 8.628687968 "15005" "Leiden_PtDetermination_Plate2" "Plasma" 5 2 3 100 70 862.8687968 4424.96818871795 309.747773210256 60400.815776
"44" "D08" 8.412565885 "16001" "Leiden_PtDetermination_Plate2" "Plasma" 5 4 1 100 80 841.2565885 4314.13635128205 345.130908102564 67300.52708
"45" "D09" 8.542873509 "16003" "Leiden_PtDetermination_Plate2" "Plasma" 5 4 2 100 80 854.2873509 4380.96077384615 350.476861907692 68342.988072
"46" "D11" 2.847990554 "Control" "Leiden_PtDetermination_Plate2" "Control" 10 0 0 730 0 2079.03310442 10661.7082277949 0 0
"47" "D12" 13.97928904 "Control" "Leiden_PtDetermination_Plate2" "Control" 50 0 0 730 0 10204.8809992 52332.7230728205 0 0
"48" "E01" 0.009380471 "1001" "Leiden_PtDetermination_Plate2" "Plasma" 0 24 1 100 100 0.9380471 4.81049794871795 0.481049794871795 93.80471
"49" "E02" 0.007089463 "1003" "Leiden_PtDetermination_Plate2" "Plasma" 0 24 2 100 100 0.7089463 3.63562205128205 0.363562205128205 70.89463
"50" "E03" 0.004149644 "1005" "Leiden_PtDetermination_Plate2" "Plasma" 0 24 3 100 80 0.4149644 2.12802256410256 0.170241805128205 33.197152
"51" "E04" 4.967927704 "5001" "Leiden_PtDetermination_Plate2" "Plasma" 5 24 1 100 100 496.7927704 2547.65523282051 254.765523282051 49679.27704
"52" "E05" 4.819457583 "5003" "Leiden_PtDetermination_Plate2" "Plasma" 5 24 2 100 100 481.9457583 2471.51670923077 247.151670923077 48194.57583
"53" "E06" 4.818073333 "5005" "Leiden_PtDetermination_Plate2" "Plasma" 5 24 3 100 100 481.8073333 2470.8068374359 247.08068374359 48180.73333
"54" "E07" 2.591249512 "6001" "Leiden_PtDetermination_Plate2" "Plasma" 5 72 1 100 100 259.1249512 1328.84590358974 132.884590358974 25912.49512
"55" "E08" 2.185814117 "6003" "Leiden_PtDetermination_Plate2" "Plasma" 5 72 2 100 100 218.5814117 1120.93031641026 112.093031641026 21858.14117
"56" "E09" 2.502351709 "6005" "Leiden_PtDetermination_Plate2" "Plasma" 5 72 3 100 76 250.2351709 1283.25728666667 97.5275537866667 19017.8729884
"57" "E10" 1.650658453 "7001" "Leiden_PtDetermination_Plate2" "Plasma" 5 120 1 100 90 165.0658453 846.491514358974 76.1842362923077 14855.926077
"58" "E11" 2.163741501 "7003" "Leiden_PtDetermination_Plate2" "Plasma" 5 120 2 100 100 216.3741501 1109.61102615385 110.961102615385 21637.41501
"59" "E12" 1.502212292 "7005" "Leiden_PtDetermination_Plate2" "Plasma" 5 120 3 100 100 150.2212292 770.365277948718 77.0365277948718 15022.12292
"60" "F01" 0.005731079 "2001" "Leiden_PtDetermination_Plate2" "Plasma" 0 192 1 100 100 0.5731079 2.93901487179487 0.293901487179487 57.31079
"61" "F02" 0.005164881 "2003" "Leiden_PtDetermination_Plate2" "Plasma" 0 192 2 100 100 0.5164881 2.64865692307692 0.264865692307692 51.64881
"62" "F03" 0.004994222 "2005" "Leiden_PtDetermination_Plate2" "Plasma" 0 192 3 100 100 0.4994222 2.56113948717949 0.256113948717949 49.94222
"63" "F04" 0.804240519 "8001" "Leiden_PtDetermination_Plate2" "Plasma" 5 192 1 100 100 80.4240519 412.431035384615 41.2431035384615 8042.40519
"64" "F05" 0.74099709 "8003" "Leiden_PtDetermination_Plate2" "Plasma" 5 192 2 100 100 74.099709 379.998507692308 37.9998507692308 7409.9709
"65" "F06" 0.670508779 "8005" "Leiden_PtDetermination_Plate2" "Plasma" 5 192 3 100 100 67.0508779 343.850655897436 34.3850655897436 6705.08779
"66" "F07" 0.37706318 "9001" "Leiden_PtDetermination_Plate2" "Plasma" 5 240 1 100 50 37.706318 193.365733333333 9.66828666666667 1885.3159
"67" "F08" 0.331174562 "9003" "Leiden_PtDetermination_Plate2" "Plasma" 5 240 2 100 94 33.1174562 169.833108717949 15.9643122194872 3113.0408828
"68" "F09" 0.256918038 "9005" "Leiden_PtDetermination_Plate2" "Plasma" 5 240 3 100 50 25.6918038 131.75284 6.587642 1284.59019
"69" "F10" 0.247728711 "10001" "Leiden_PtDetermination_Plate2" "Plasma" 5 288 1 100 100 24.7728711 127.040364615385 12.7040364615385 2477.28711
"70" "F11" 0.221528526 "10003" "Leiden_PtDetermination_Plate2" "Plasma" 5 288 2 100 100 22.1528526 113.604372307692 11.3604372307692 2215.28526
"71" "F12" 0.114824271 "12005" "Leiden_PtDetermination_Plate2" "Plasma" 5 288 3 100 100 11.4824271 58.8842415384615 5.88842415384615 1148.24271
"72" "G01" 0.004205407 "3001" "Leiden_PtDetermination_Plate2" "Plasma" 0 360 1 100 70 0.4205407 2.15661897435897 0.150963328205128 29.437849
"73" "G02" 0.005069322 "3003" "Leiden_PtDetermination_Plate2" "Plasma" 0 360 2 100 70 0.5069322 2.59965230769231 0.181975661538462 35.485254
"74" "G03" 0.005760317 "3005" "Leiden_PtDetermination_Plate2" "Plasma" 0 360 3 100 70 0.5760317 2.95400871794872 0.20678061025641 40.322219
"75" "G04" 0.150140519 "11001" "Leiden_PtDetermination_Plate2" "Plasma" 5 360 1 100 70 15.0140519 76.9951379487179 5.38965965641026 1050.983633
"76" "G05" 0.214790945 "11003" "Leiden_PtDetermination_Plate2" "Plasma" 5 360 2 100 90 21.4790945 110.149202564103 9.91342823076923 1933.118505
"77" "G06" 0.163713307 "11005" "Leiden_PtDetermination_Plate2" "Plasma" 5 360 3 100 100 16.3713307 83.9555420512821 8.3955542051282 1637.13307
"78" "G07" 0.065082343 "12001" "Leiden_PtDetermination_Plate2" "Plasma" 5 480 1 100 100 6.5082343 33.3755605128205 3.33755605128205 650.82343
