"time"	"cell.id"	"cell.id"	"cell.center.y"

1	136	136	704.56691
1	198	198	1186.881657
1	440	440	434.0712589

2	6	6	759.0311804
2	117	117	783.5474614
2	143	143	893.1625835
2	405	405	110.6845638
2	488	488	486.5558036
2	599	599	380.0558036

3	376	376	567.7946429
4	61	61	1055.295302
4	522	522	164.3333333

5	577	577	407.7161863
5	586	586	31.33777778

6	345	345	352.6188341
6	627	627	515.2142857

7	482	482	326.2035794
8	320	320	299.2971175
8	455	455	218.6044944

9	399	399	570.3273942
9	566	566	109.82

10	55	55	893.5498891
10	452	452	138.1622222

11	96	96	811.3797753
11	446	446	594.34

12	552	552	352.8214286
13	504	504	298.4437086
14	77	77	894.7270694
14	82	82	1028.486667
14	290	290	705.6741071

15	41	41	1109.649007
15	141	141	839.1543624
15	359	359	110.2743363
15	540	540	31.74666667




19	271	271	784.7757848
19	543	543	109.6481069

20	497	497	110
21	1	1	623.3206278
21	335	335	81.96428571

22	11	11	892.8683036
23	244	244	650.2761693
23	261	261	1108.357778
23	300	300	976.2150776

24	194	194	1080.34
24	551	551	326.1300448
24	604	604	514.0268456



27	325	325	434

