"time"	"cell.id"	"cell.id"	"cell.center.y"

1	138	138	757.8005319
2	4	4	704.5605381
3	592	592	190.4587973
4	195	195	1108.113333
4	259	259	1056.434298
4	590	590	137.4384787
4	602	602	459.6866667
4	612	612	110.2660754

5	288	288	649.8370536
5	579	579	460.2022222

6	563	563	31.57461024

8	97	97	838.7928731
8	180	180	704.9356984


10	331	331	594.8977778
11	537	537	571.18
12	444	444	543.0133929
13	254	254	921.6807095
13	339	339	191.5676275
13	621	621	352.6651786

14	112	112	650.62
14	528	528	327.0267261

15	295	295	839.6383929
16	372	372	460.027027
16	573	573	299.4101996

17	230	230	866.5100223
17	304	304	1081.5898

18	332	332	7.839643653
18	351	351	516.0337079
18	402	402	29.43362832


20	143	143	892.027027
20	330	330	569.9775785

21	245	245	677.972973
22	238	238	1081.683742
22	286	286	1186.01566

23	80	80	973.460177
23	188	188	920.4632517
23	223	223	678.6807095


25	268	268	705.5044643
26	222	222	651.6224719

28	294	294	813.8291572
