"time"	"cell.id"	"cell.id"	"cell.center.y"

1	407	407	163.2868421
2	298	298	920.3340757
3	179	179	676.1622222
3	557	557	488.2550336

4	430	430	164.1333333
5	51	51	786.46
5	400	400	596.6859688


7	55	55	892.2544643
7	502	502	244.76

8	404	404	83.26339286
9	474	474	109.8173719
9	506	506	353.7377778

10	573	573	298.7666667
11	14	14	974.4653244
12	277	277	947.7222222
12	462	462	407.1540179
12	485	485	407.8948546
12	539	539	6.279642058

13	226	226	758.972973
14	15	15	999.6659193
14	440	440	435.1959911

15	212	212	974
16	56	56	919.7820225
16	209	209	892.2071269
16	256	256	973.4368071


18	405	405	108.4955157

20	169	169	1000.266667
20	415	415	379.8322148
20	514	514	568.2276786
20	566	566	108.7782705



23	249	249	784.3875278
23	564	564	55.67477876

24	478	478	217.3030973



28	90	90	649.4147982
28	394	394	433.6088889

