"time"	"cell.id"	"cell.id"	"cell.center.y"

1	36	36	974.4673367
1	53	53	838.6
1	56	56	919.3759591

2	153	153	1161.826667
2	611	611	82.50334076

3	176	176	1185.746102
3	318	318	246.5995575
3	333	333	30.26845638

4	92	92	703.4899777
4	358	358	83.37777778
4	365	365	271.7254464
4	437	437	352.8928571

5	298	298	918.960177
5	572	572	271.4843049

6	452	452	138.558296
7	50	50	756.9688889
7	253	253	892.7050998
7	563	563	31.65478842

8	226	226	756.7232143
8	274	274	866.5377778
8	471	471	31.29910714

9	103	103	1000.421634
9	197	197	1162.215556
9	307	307	1161.488889
9	398	398	541.3392461



12	91	91	678.1602709
12	429	429	136.5367483

13	169	169	1000.641593
13	525	525	244.6213808
13	549	549	272.7008929

14	530	530	380.5852018
15	33	33	894.9459459
15	594	594	244.7772829

16	133	133	624.082774
16	247	247	730.2461197

17	292	292	758.6487696
17	326	326	461.3097345
17	535	535	515.7073171

18	585	585	7.252796421
19	361	361	162.7488889
19	586	586	27.86004515

20	224	224	704.8935698
20	294	294	811.4506726

21	616	616	217.02

23	321	321	326.539823
24	98	98	866.6637168
25	146	146	974.2053571

27	547	547	217.4733333
28	44	44	1184.691111
28	235	235	1000.280973

