"time"	"cell.id"	"cell.id"	"cell.center.y"

1	493	493	5.533950617
2	77	77	892.4651685
2	445	445	568.5946548

3	396	396	488.4355556
3	505	505	325.3727679
3	541	541	56.99107143

4	168	168	975.3154362
4	187	187	893.426009
4	328	328	513.1596452
4	377	377	595.7155556
4	405	405	110.5701559
4	542	542	80.66964286

5	117	117	786.3140312
5	543	543	109.0602679
5	580	580	487.5973154
5	601	601	434.9844098

6	313	313	109.8070953
7	513	513	543.3155556
7	554	554	407.5100223
7	564	564	56.69026549

8	320	320	298.789823
9	7	7	785.7897092
9	192	192	1028.973154
9	568	568	164.1024499
9	606	606	568.5133333


11	470	470	6.818791946
11	587	587	55.87723214



14	121	121	892.8702461
14	556	556	461

15	522	522	164.7161863
15	560	560	568.7743363

16	314	314	137.7747748
16	387	387	245.972973



19	235	235	1002.558296
20	270	270	757.3030973
21	371	371	434.7008929
21	430	430	163.9821826

22	219	219	1159.570156





28	234	234	975.8659091
28	514	514	569.785553
28	572	572	272.4865471

