"time"	"cell.id"	"cell.id"	"cell.center.y"


2	496	496	84.74553571
2	516	516	7.713968958

3	375	375	542.6688889
3	623	623	407.1507761


5	330	330	568.9706546
5	454	454	191.4867257
5	585	585	7.584821429

6	25	25	677.4866667
6	306	306	1135.662192
6	370	370	405.7300885

7	72	72	756.2544643
7	281	281	1055.279018
7	408	408	191

8	87	87	1160.449889
8	448	448	31.43333333
8	487	487	462.26
8	567	567	139.1297539

9	469	469	595.8824834
9	476	476	164.6080178

10	173	173	1109.50783
10	242	242	1184.933185
10	462	462	406.7168539

11	185	185	838.953125
11	441	441	460.8504464

12	105	105	1055.875556
12	195	195	1108.982143
12	200	200	652.3592018
12	282	282	1079.986517

13	307	307	1159.566292
13	311	311	58.12917595
13	481	481	298.2895323


15	459	459	325.9466667
16	337	337	137.6866667
16	342	342	271.3616071

17	397	397	514.4899777
18	594	594	244.2933333

20	205	205	784.027027
21	504	504	299.2008929
21	565	565	84.24044944

22	192	192	1027.5898
23	58	58	973.9685393
23	535	535	515.4138702

24	511	511	488
25	468	468	569.1179138
26	101	101	947.5617978
27	182	182	758
27	235	235	1001.848214
27	466	466	515.972973

28	63	63	1108.027027
28	523	523	191

