"time"	"cell.id"	"cell.id"	"cell.center.y"

1	436	436	324.6658291
1	472	472	55.62052506
1	477	477	192.1362468

2	300	300	973.5
2	460	460	352.9688889

3	597	597	326.0289532
4	31	31	839.7288889
4	576	576	381.7723214

5	109	109	1162.897321
5	176	176	1184.878319
5	479	479	245.1625835
5	595	595	272.8824834



8	39	39	1054.88196
8	565	565	83.24107143

9	67	67	623.1565996
9	294	294	811.6525612
9	522	522	165.0774336
9	537	537	569.4866071

10	509	509	434.4866667
11	197	197	1161.076063
11	378	378	6.52
11	550	550	298.6837416

12	102	102	973.0268456
13	106	106	1081.736607
13	487	487	460.9393258

14	289	289	676.2209821

16	369	369	380.1466667
16	400	400	596.7606264

17	420	420	514.5346756
18	232	232	920.8811659
18	344	344	326.5562914

19	158	158	704
19	593	593	218.972973

20	48	48	703.1893096
20	350	350	487.4327354
20	629	629	568.2399103

21	23	23	622.460177
21	225	225	731.7505568
21	358	358	83.25442478


23	337	337	138.1155556
24	71	71	730.3758389
24	281	281	1055.758389

25	155	155	623.972973
25	216	216	1081.313333
25	590	590	136.5501114


27	3	3	677.6762749
27	488	488	488.0022573


