"time"	"cell.id"	"cell.id"	"cell.center.y"

1	158	158	704.1234257
1	446	446	597.4924623
1	569	569	193.0554217

2	218	218	1135.612108
2	245	245	676.5866667
2	594	594	245.7544643

3	211	211	946.9865772
3	431	431	190.7355556
3	628	628	542.1183036

4	416	416	406.9888393
4	557	557	488.7755556
4	602	602	459.9534368

5	60	60	1027.427938
5	575	575	353.2350333

6	165	165	894.1108647
6	286	286	1186.988864
6	422	422	568.6333333

7	333	333	31.05099778
7	388	388	272.195122

8	12	12	919.3289183
8	254	254	920.6325167

9	494	494	30.0426009
10	209	209	894.53125
10	492	492	596.3697105
10	577	577	406.6308725


12	344	344	325.38
12	358	358	83.70953437

13	578	578	432.4407159
14	50	50	757.9666667
14	94	94	758.1133333
14	382	382	109.64

15	117	117	786.3133333
15	625	625	461

16	73	73	784.4107143
17	468	468	566.88
17	558	558	515.8510158

18	216	216	1082.733333
18	486	486	433.3460674
18	500	500	191.2866667
18	572	572	271.027027


20	616	616	218.5379464

22	421	421	540.8724832
22	548	548	245.1581292

23	320	320	298.7311111
24	561	561	596.1177778
25	199	199	622.027027
25	205	205	785.6035635
25	536	536	541.3683036

26	192	192	1028.43722
27	76	76	865.9022222
27	604	604	514.7216036

28	346	346	380.5920177
