"time"	"cell.id"	"cell.id"	"cell.center.y"

1	62	62	1083.490358
1	505	505	325.3973333
1	538	538	595.7375328

2	454	454	191.3563474
3	166	166	920.765625
3	324	324	405.5555556
3	395	395	461.0423163

4	482	482	326.6533333
4	577	577	407.7884187

5	447	447	8.353467562
6	626	626	487.9287305
7	197	197	1161.263858
8	135	135	677.9020045
8	234	234	973.169265
8	277	277	946.7735426


10	116	116	757.5803571
10	460	460	354.1946309
10	552	552	352.7884187

11	92	92	703.7216036
11	266	266	649.2777778
11	437	437	353.972973

12	21	21	1161.644444
12	627	627	514.447191

13	520	520	109.4155556
13	574	574	326.2366071
13	628	628	540.7522523



16	334	334	56.46325167
16	356	356	30.72787611
16	517	517	30.87555556
16	604	604	514.4147982

17	254	254	919.027027
18	248	248	757.0200445
18	413	413	325.4070796


20	518	518	55.92325056
21	186	186	866.2723214
22	501	501	217.1147903
23	488	488	488.6762749
24	18	18	1081.277778
24	296	296	867.0267261

25	330	330	570.0022573
26	424	424	9.258351893

28	144	144	918.0066667
28	390	390	327.0774336

