"time"	"cell.id"	"cell.id"	"cell.center.y"

1	435	435	299.7

3	129	129	1109.101996
3	203	203	731.3674833
3	587	587	56.01342282

4	329	329	541.2511111
4	347	347	407.9490022
4	420	420	513.9485459


6	563	563	30.41163311
6	586	586	31.40990991
6	591	591	163.36
6	612	612	110.2733333

7	263	263	1161.672606
8	168	168	975.0066667
8	315	315	162.6283186
8	567	567	137.6866667

9	276	276	920.3813747
9	313	313	110.9266667
9	383	383	136.0268456
9	583	583	568.0733333

10	219	219	1161.184444
10	516	516	7.335555556

11	244	244	649.8533333
11	357	357	57.64798206
11	545	545	163.4899777

12	312	312	84.5857461
13	623	623	406.0268456

15	515	515	594.3883929
15	564	564	55.88764045
15	595	595	271.4620536

16	47	47	676.5346756
16	200	200	649.9821826


18	192	192	1027.66

20	536	536	541.4567627


23	239	239	1107.148889

25	334	334	56
26	450	450	81.56347439
27	582	582	541.1036036

