"time"	"cell.id"	"cell.id"	"cell.center.y"

1	173	173	1109.712821
1	186	186	866.7889182
1	534	534	488.7862595


3	20	20	1135.524664
4	41	41	1109.388393
4	224	224	704.3073497
4	479	479	245.0623608
4	607	607	594.8997773

5	175	175	1161.054054
5	580	580	487.7088889

6	393	393	407.5790646
7	25	25	677.9490022
7	239	239	1107.388393
7	265	265	621.5784753
7	588	588	84.16888889

8	171	171	1053.584821
8	298	298	920.7790179

9	313	313	109.3289183

11	389	389	298.54
11	519	519	82.01336303

12	6	6	758.4632517
12	611	611	83.34070796

13	388	388	274.0334076
13	416	416	407.4501109
13	524	524	217.2694878

14	581	581	515.0795455
15	455	455	218.7733333
15	530	530	378.7466667

16	23	23	622.6205357
17	449	449	56.71937639
17	512	512	515


19	66	66	1185.080357



23	568	568	164.5631929

25	613	613	137

27	27	27	731
27	103	103	1000.647321
27	257	257	1000.873614

28	208	208	867.6895787
28	469	469	595.9349776
28	570	570	218

