"time"	"cell.id"	"cell.id"	"cell.center.y"

1	498	498	136.4433498
1	507	507	381.0827068

2	45	45	623.7488889
2	175	175	1161.088889
2	197	197	1161.609375
2	284	284	1135.046875
2	452	452	136.4498886
2	492	492	595.6294643


4	4	4	703.5911111
4	215	215	1054.842222

5	97	97	839.2594235
5	354	354	596.3705357
5	630	630	596.0534521

6	200	200	649.295302
6	454	454	191.58




10	441	441	461.0758929
11	82	82	1028.387892
12	13	13	947.1781737
12	602	602	461.7611607
12	629	629	570.8409091

13	358	358	83.97297297


16	190	190	974

18	191	191	998.5379464
18	599	599	380

19	384	384	164.972973
19	386	386	218.972973
19	622	622	378.8129176

20	614	614	163.6146993
21	450	450	84.50446429
21	589	589	110.3526786

22	381	381	83.98881432

24	26	26	704
24	509	509	434.5100223




28	114	114	704.9731544
