"time"	"cell.id"	"cell.id"	"cell.center.y"

1	124	124	973.2738693
1	198	198	1185.886567
1	215	215	1054.776596
1	287	287	623.6437346
1	288	288	650.1552632

2	612	612	109.7827051
3	292	292	758.4955556
3	421	421	541.8688889
3	461	461	379.5659955

4	302	302	1028.373602
4	317	317	217.1773836
4	410	410	245.097561

5	57	57	947.2035794
5	474	474	109.02

6	72	72	758.6763393
6	208	208	865.7216036
6	322	322	351.9398664
6	347	347	406.1390728
6	460	460	353.7142857

7	330	330	569.5369128
7	331	331	596

8	355	355	5.781531532
8	465	465	487.6138393
8	475	475	135.867713
8	508	508	405.7075893

9	368	368	352.7666667
9	376	376	569.6383929
9	390	390	326.2914798

10	119	119	839.9731544
10	627	627	514.5647321


12	558	558	515.3051225


15	569	569	191.0110865
16	285	285	1162.366667
17	51	51	786.9419643
18	121	121	892.9821826
18	387	387	245.3561947


20	533	533	459.7250554
21	299	299	947.2783964
21	329	329	545.0829596

22	160	160	758.972973
22	351	351	514.4426966
22	427	427	83

23	561	561	595.6585366
24	466	466	514.7072072
25	354	354	596.5669643
25	516	516	4.970917226
25	562	562	7.044345898
25	572	572	271.4368071

26	161	161	784.4237668
27	142	142	865.3133333
27	614	614	164.4228188


