"time"	"cell.id"	"cell.id"	"cell.center.y"

1	255	255	946.1213592

3	372	372	460.6004464
4	91	91	677.4336283
4	562	562	7.781737194
4	590	590	136.9129464

5	475	475	135.7019868
6	524	524	218.5055928
6	589	589	112.1361607

7	584	584	596.0604027
8	481	481	299.4053452

10	205	205	783.9225664
10	405	405	110

11	20	20	1135.026608
12	630	630	596

14	36	36	975.0402685
15	410	410	245.0089087
16	15	15	1000.81069
16	247	247	729.46

17	518	518	56.04484305

19	181	181	729.0177384
20	48	48	703.0357143

22	611	611	83.20357942
23	339	339	190.5133333

25	18	18	1081.027027
26	66	66	1185.663677
26	348	348	434.2405345
26	570	570	218.6353468

27	332	332	6.378378378
27	417	417	433.4437086


