"time"	"cell.id"	"cell.id"	"cell.center.y"

1	39	39	1054.277008
1	190	190	973.6691729

2	185	185	838.1297539
2	321	321	326.1342282

3	90	90	648.7633929
3	269	269	731.9731544
3	521	521	137.5577778

4	283	283	1109.334812
4	314	314	136.6347439
4	427	427	82.25333333

5	362	362	189.1808036
6	83	83	1055.463252
7	425	425	31.08685969
7	538	538	596.2783964

8	397	397	515.7066667
9	309	309	6.977777778
9	511	511	486.3044444
9	517	517	31.57238307
9	533	533	460.2360802
9	624	624	433.2771619

10	113	113	676.1666667
11	57	57	948.3088889
11	291	291	731.2410714

12	121	121	894.2511111
12	349	349	461.2433628
12	579	579	460.5916115

13	442	442	489.135255
13	555	555	434.3813747

14	227	227	785.972973
14	475	475	137
14	557	557	487.4933036

15	572	572	271.2427617
16	287	287	623.6383929
17	219	219	1160.224444
17	252	252	866.5844444

18	575	575	354.71875
19	273	273	838.9465479
19	333	333	30.77777778
19	340	340	218.1946309
19	420	420	514.5597345
19	544	544	138.5545657

20	437	437	353
21	188	188	919.5898004
22	251	251	840.0698198
22	352	352	541.6629464
22	451	451	109.3133333
22	547	547	218.972973
22	606	606	568.4501109

23	206	206	811.4365256
24	344	344	325.8836689

26	201	201	677.5631929
27	271	271	784.6875

